Parent Cas#	Parent Chem. Name	Parent Smiles	Parent Map reliability	Parent Liver_Muta	Parent in vivo Liver predicted Clastogen	Parent Invitro predictions	Parent Mechanism	Parent Alert info	Parent ModelReliability	Parent Type of detoxification	Parent detoxification paths	Parent Parameter ranges	Parent Structural domain				Parent Total Domain	Metabolite in vivo Liver predicted Clastogen	Metabolite Invitro predictions	Metabolite Mechanism	Metabolite Alert info	Metabolite ModelReliability	Metabolite Type of detoxification	Summary Map reliability	Summary in vivo Liver predicted Clastogen	Summary Mechanism	Summary Alert info	Summary ModelReliability	Summary Type of detoxification	Summary detoxification paths	Summary Total Domain
359-83-1	Pentazocine	CC{P-}1C{P-}2Cc3ccc(O)cc3C{P-}1(C)CCN2CC=C(C)C	0.3116	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	26. Phenolic Derivatives	In domain	25.00%	6.25%	68.75%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	"Alfa,Beta-Unsaturated Aldehydes"	Undetermined (0 <n< 10)	 	0.3116	in vivo Liver Clastogen positive	Interaction with DNA 	"Alfa,Beta-Unsaturated Aldehydes"	Undetermined (0 <n< 10)	 	 	Out of Domain
144598-75-4	Paliperidone (9-Hydroxyrisperidone)	CC1=C(CCN2CCC(C3c4ccc(F)cc4ON=3)CC2)C(=O)N2CCCC{P-}(O)C2=N1	0.2093	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	30.77%	3.85%	65.38%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2093	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
28721-07-5	Oxcarbazepine	NC(=O)N1c2ccccc2CC(=O)c2ccccc12	0.2789	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	11.11%	0.00%	88.89%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2789	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
*-65-0	Terbutylazine SYN 545666	 																													
315-72-0	Opipramol	OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc23)CC1	0.305	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	58.82%	11.76%	29.41%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.305	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
132539-06-1	Olanzapine	CC1=CC2=C(Nc3ccccc3N=C2N2CCN(C)CC2)S1	0.1921	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	17.65%	0.00%	82.35%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	Dicarbonyl Compounds	Undetermined (0 <n< 10)	 	0.1921	in vivo Liver Clastogen positive	Interaction with DNA 	Dicarbonyl Compounds	Undetermined (0 <n< 10)	 	 	Out of Domain
93413-62-8	O-Desmethylvenlafaxine (Desvenlafaxine)	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1	0.2806	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 26. Phenolic Derivatives	In domain	64.29%	14.29%	21.43%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2806	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
73986-53-5	O-Desmethyltramadol	CN(C)CC1CCCCC1(O)c1cccc(O)c1	0.3599	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	 	In domain	53.85%	15.38%	30.77%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.3599	in vivo Liver Clastogen negative	 	Substituted Phenols	 	 	 	Out of Domain
75596-99-5	Metalaxyl NOA 409045	 																													
1173021-76-5	S-Metolachlor CGA 368208	CCc1cccc(C)c1NC(=O)CS(O)(=O)=O	0.5	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	Belongs to deacivated path	53. Carboxylic acid amines	In domain	25.00%	0.00%	75.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"Substituted Phenols,Carboxylic Acid Amides"	Undetermined (0 <n< 10)	Belongs to deacivated path	0.5	in vivo Liver Clastogen negative	Interactions with topoisomerases / proteins	Carboxylic Acid Amides	Undetermined (0 <n< 10)	Belongs to deacivated path	53. Carboxylic acid amines	Out of Domain
37115-43-8	alpha-Hydroxyalprazolam	OCC1=NN=C2CN=C(c3ccccc3)c3cc(Cl)ccc3N12	0.1549	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	38.46%	0.00%	61.54%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1549	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
34084-50-9	7-Aminoflunitrazepam	CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc12	0.2951	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Anilines	 	Belongs to deacivated path	* 7. Single Ring Aromatic Amines	In domain	54.55%	9.09%	36.36%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.2951	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
15307-79-6	Diclofenac	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	0.5984	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	N-Substituted Aromatic Amines	 	 	 	In domain	22.22%	0.00%	77.78%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.5984	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
6703-27-1	Acetylcodeine	CC(=O)OC{P-}1C=CC2C{P-}3Cc4ccc(OC)c5c4C{P+}2(CCN3C)C{P-}1O5	0.1137	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Specific Acetate Esters	 	 	 	In domain	50.00%	0.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.1137	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
125-71-3	Dextromethorphan (Methorphan)	CN1CCC{P+}23CCCCC{P+}2C{P-}1Cc1ccc(OC)cc31	0.2423	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	73.33%	0.00%	26.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.2423	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
2886-65-9	Desalkylflurazepam	O=C1C=NC(c2ccccc2F)=C2C=C(Cl)C=CC2=N1	0.3593	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3593	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
71195-58-9	Alfentanil	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCN2C(=O)N(CC)N=N2)CC1	0.1086	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	44.00%	8.00%	48.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.1086	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
529-38-4	Cocaethylene	CCOC(=O)C{P+}1C{P-}2CCC{P-}(CC{P+}1OC(=O)c1ccccc1)N2C	0.2247	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	55.56%	16.67%	27.78%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.2247	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
76-57-3	Codeine	CN1CCC{P-}23C{P-}4C=CC{P+}(O)C{P+}2Oc2c3c(CC{P-}14)ccc2OC	0.2697	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	41.18%	0.00%	58.82%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2697	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
114798-26-4	Losartan	CCCCC1=NC(Cl)=C(CO)N1Cc1ccc(-c2ccccc2C2=NNN=N2)cc1	0.2986	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	Belongs to deacivated path	* 29. Unsaturated Compounds	In domain	20.00%	0.00%	80.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2986	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
59468-90-5	alpha-Hydroxymidazolam	OCC1=NC=C2CN=C(c3ccccc3F)c3cc(Cl)ccc3N12	0.3428	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	21.43%	0.00%	78.57%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3428	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
30223-73-5	EDDP (metabolite of Methadone)	CC=C1C(c2ccccc2)(c2ccccc2)CC(C)N1C	0.0983	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	18.18%	0.00%	81.82%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.0983	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
37115-45-0	alpha-Hydroxytriazolam	OCC1=NN=C2CN=C(c3ccccc3Cl)c3cc(Cl)ccc3N12	0.3001	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	21.43%	0.00%	78.57%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3001	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
113-59-7	Chlorprothixene	CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc12	0.2151	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	36.36%	18.18%	45.45%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2151	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
71675-85-9	Amisulpride	CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	0.2806	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain,Substituted Anilines"	 	Belongs to deacivated path	* 3. Single Ring Aromatic Amines;* 52. Carboxylic acid amines	In domain	40.00%	10.00%	50.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Single-ring Substituted Primary Aromatic Amines,DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain,Substituted Anilines"	 	Belongs to deacivated path	0.2806	in vivo Liver Clastogen negative	 	"Single-ring Substituted Primary Aromatic Amines,DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain,Substituted Anilines"	 	Belongs to deacivated path	* 3. Single Ring Aromatic Amines;* 52. Carboxylic acid amines	Out of Domain
50-48-6	Amitriptyline	CN(C)CCC=C1c2ccccc2CCc2ccccc12	0.1504	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	27.27%	9.09%	63.64%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1504	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
139481-59-7	Candesartan	CCOC1=Nc2cccc(C(O)=O)c2N1Cc1ccc(-c2ccccc2C2NN=NN=2)cc1	0.2003	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	16.67%	0.00%	83.33%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2003	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
101224-22-0	Buprenorphine glucuronide	CC(C)(C)C{P+}(C)(O)C{P-}1CC{P-}23CCC{P-}1(OC)C{P-}1C{P-}22CCN(CC4CC4)C{P+}3Cc3ccc(OC{P-}4C{P+}(O)C{P-}(O)C{P+}(O)C{P-}(C(O)=O)O4)c(c23)O1	0.3825	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	51.22%	4.88%	43.90%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	 	0.3825	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
14028-44-5	Amoxapine	Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	0.2248	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	8.33%	0.00%	91.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2248	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
300-62-9	Amphetamine	CC(N)Cc1ccccc1	0.1253	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	60.00%	0.00%	40.00%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1253	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
5786-21-0	Clozapine	CN1CCN(C2c3ccccc3Nc3ccc(Cl)cc3N=2)CC1	0.1744	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	30.77%	0.00%	69.23%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.1744	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
60282-87-3	Gestoden	CCC{P+}12CCC{P-}3C{P-}(CCC4=CC(=O)CCC{P+}34)C{P+}1C=CC{P+}2(O)C#C	0.2846	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	In domain	56.52%	8.70%	34.78%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Epoxides and Aziridines	 	 	0.2846	in vivo Liver Clastogen negative	 	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	 	 	 	Out of Domain
6740-88-1	Ketamine	CNC{P+}1(c2ccccc2Cl)CCCCC1=O	0.3501	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	45.45%	0.00%	54.55%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.3501	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
209414-07-3	JWH-018 (N-(n-pentanoic acid)	CCCCCN1C=C(C(=O)c2cccc3ccccc23)c2ccccc12	0.2268	No data	in vivo Liver Clastogen negative	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	Belongs to deacivated path	29. Unsaturated Compounds	In domain	33.33%	0.00%	66.67%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	0.2268	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	"alpha,beta-Unsaturated Carbonyls and Related Compounds"	Undetermined (0 <n< 10)	 	 	Out of Domain
138402-11-6	Irbesartan	CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2C2NN=NN=2)cc1	0.2367	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	31.82%	0.00%	68.18%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	0.2367	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Substituted Phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
*733340-70-3	Iopromid	CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)COC)c(I)c(C(=O)NCC(O)CO)c1I	0.1774	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"DNA Intercalators with Carboxamide and Aminoalkylamine Side Chain,Carboxylic Acid Amides"	 	Belongs to deacivated path	* 52. Carboxylic acid amines	Out of domain	59.26%	0.00%	40.74%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	0.1774	in vivo Liver Clastogen positive	Interaction with DNA 	N-HydroxylAmines	Undetermined (0 <n< 10)	 	 	Out of Domain
117428-22-5	Picoxystrobin	COC=C(c1ccccc1COc1cccc(C(F)(F)F)n1)C(=O)OC	0.4314	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	"Geminal Polyhaloalkane Derivatives,alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	"Geminal Polyhaloalkane Derivatives,alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	0.4314	in vivo Liver Clastogen negative	 	"Geminal Polyhaloalkane Derivatives,alpha,beta-Unsaturated Carboxylic Acids and Esters"	 	 	 	Out of Domain
252913-85-2	Trifloxystrobin CGA 321113	CC(c1cccc(C(F)(F)F)c1)=N/OCc1ccccc1C(/C(O)=O)=N/OC	0.1158	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	In domain	0.00%	0.00%	100.00%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	Geminal Polyhaloalkane Derivatives	 	 	0.1158	in vivo Liver Clastogen negative	 	Geminal Polyhaloalkane Derivatives	 	 	 	Out of Domain
50-49-7	Imipramine	CN(C)CCCN1c2ccccc2CCc2ccccc12	0.1715	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	45.45%	9.09%	45.45%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1715	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
466-99-9	Hydromorphone	CN1CCC23C4CCC(=O)C2Oc2c3c(CC14)ccc2O	0.1837	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives	In domain	43.75%	0.00%	56.25%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.1837	in vivo Liver Clastogen negative	 	Substituted Phenols	 	Belongs to deacivated path	* 20. Phenolic Derivatives	Out of Domain
113-53-1	Dothiepin	CN(C)CCC=C1c2ccccc2CSc2ccccc12	0.1879	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	27.27%	9.09%	63.64%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1879	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
52-86-8	Haloperidol	OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1	0.6566	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	56.25%	6.25%	37.50%	Out of domain	Out of Domain	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	0.6566	in vivo Liver Clastogen negative	 	 	 	 	 	Out of Domain
1668-19-5	Doxepin	CN(C)CCC=C1c2ccccc2COc2ccccc12	0.1989	No data	in vivo Liver Clastogen negative	in vitro CA negative	 	 	 	 	 	In domain	36.36%	9.09%	54.55%	Out of domain	Out of Domain	in vivo Liver Clastogen positive	in vitro CA positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	0.1989	in vivo Liver Clastogen positive	Interactions with topoisomerases / proteins	Hydroxylated phenols	Undetermined (0 <n< 10)	 	 	Out of Domain
